# 这是接口或订阅源的白名单，白名单内的接口或订阅源获取的接口将不会参与测速，优先排序至结果最前。
# 填写频道名称会直接保留该记录至最终结果，如：CCTV-1,接口地址，只填写接口地址则对所有频道生效，多条记录换行输入。
# This is the whitelist of the interface or subscription source. The interface in the whitelist or the interface obtained by the subscription source will not participate in the speed measurement and will be prioritized in the result.
# Filling in the channel name will directly retain the record to the final result, such as: CCTV-1,url, only fill in the interface address will be effective for all channels, multiple records newline input.
CCTV1,http://192.168.100.1:7088/rtp/239.254.96.96:8550
CCTV2,http://192.168.100.1:7088/rtp/239.69.1.102:10250
CCTV3,http://192.168.100.1:7088/rtp/239.69.1.122:10370
CCTV4,http://192.168.100.1:7088/rtp/239.69.1.138:10466
CCTV5,http://192.168.100.1:7088/rtp/239.69.1.123:10376
CCTV5+,http://192.168.100.1:7088/rtp/239.254.96.234:9484
CCTV6,http://192.168.100.1:7088/rtp/239.69.1.124:10382
CCTV7,http://192.168.100.1:7088/rtp/239.69.1.103:10256
CCTV8,http://192.168.100.1:7088/rtp/239.69.1.125:10388
CCTV9,http://192.168.100.1:7088/rtp/239.69.1.104:10262
CCTV10,http://192.168.100.1:7088/rtp/239.69.1.105:10268
CCTV11,http://192.168.100.1:7088/rtp/239.69.1.154:10560
CCTV12,http://192.168.100.1:7088/rtp/239.69.1.106:10274
CCTV13,http://192.168.100.1:7088/rtp/239.254.96.161:9040
CCTV14,http://192.168.100.1:7088/rtp/239.69.1.107:10280
CCTV15,http://192.168.100.1:7088/rtp/239.69.1.155:10566
CCTV16,http://192.168.100.1:7088/rtp/239.69.1.247:11124
CCTV17,http://192.168.100.1:7088/rtp/239.69.1.152:10548
CCTV4K,http://192.168.100.1:7088/rtp/239.69.1.111:10304
CCTV164K,http://192.168.100.1:7088/rtp/239.69.1.249:11136
湖北卫视,http://192.168.100.1:7088/rtp/239.254.96.115:8664
湖北经视,http://192.168.100.1:7088/rtp/239.69.1.41:9886
湖北综合,http://192.168.100.1:7088/rtp/239.69.1.42:9892
湖北垄上,http://192.168.100.1:7088/rtp/239.69.1.43:9898
湖北公共,http://192.168.100.1:7088/rtp/239.69.1.40:9880
湖北影视,http://192.168.100.1:7088/rtp/239.69.1.204:10866
湖北教育,http://192.168.100.1:7088/rtp/239.69.1.206:10878
湖北生活,http://192.168.100.1:7088/rtp/239.69.1.205:10872
武汉一套,http://192.168.100.1:7088/rtp/239.69.1.145:10506
武汉二套,http://192.168.100.1:7088/rtp/239.69.1.146:10512
武汉生活,http://192.168.100.1:7088/rtp/239.69.1.251:11148
武汉经济,http://192.168.100.1:7088/rtp/239.69.1.35:9850
武汉文体,http://192.168.100.1:7088/rtp/239.69.1.147:10518
武汉外语,http://192.168.100.1:7088/rtp/239.69.1.36:9856
武汉教育,http://192.168.100.1:7088/rtp/239.69.1.60:9994
中国交通,http://192.168.100.1:7088/rtp/239.69.2.3:11172
湖南卫视,http://192.168.100.1:7088/rtp/239.254.96.139:8908
浙江卫视,http://192.168.100.1:7088/rtp/239.254.96.143:8932
江苏卫视,http://192.168.100.1:7088/rtp/239.254.96.144:8938
东方卫视,http://192.168.100.1:7088/rtp/239.254.96.142:8926
北京卫视,http://192.168.100.1:7088/rtp/239.254.96.141:8920
广东卫视,http://192.168.100.1:7088/rtp/239.254.96.140:8914
深圳卫视,http://192.168.100.1:7088/rtp/239.254.96.137:8896
黑龙江卫视,http://192.168.100.1:7088/rtp/239.254.96.138:8902
天津卫视,http://192.168.100.1:7088/rtp/239.69.1.68:10048
山东卫视,http://192.168.100.1:7088/rtp/239.69.1.69:10054
安徽卫视,http://192.168.100.1:7088/rtp/239.69.1.70:10060
辽宁卫视,http://192.168.100.1:7088/rtp/239.69.1.71:10066
东南卫视,http://192.168.100.1:7088/rtp/239.69.1.108:10286
江西卫视,http://192.168.100.1:7088/rtp/239.69.1.126:10394
重庆卫视,http://192.168.100.1:7088/rtp/239.69.1.149:10530
贵州卫视,http://192.168.100.1:7088/rtp/239.69.1.150:10536
河南卫视,http://192.168.100.1:7088/rtp/239.69.1.168:10644
四川卫视,http://192.168.100.1:7088/rtp/239.69.1.169:10650
河北卫视,http://192.168.100.1:7088/rtp/239.69.1.157:10578
海南卫视,http://192.168.100.1:7088/rtp/239.69.1.151:10542
广西卫视,http://192.168.100.1:7088/rtp/239.69.1.191:10788
吉林卫视,http://192.168.100.1:7088/rtp/239.69.1.212:10914
卡酷少儿,http://192.168.100.1:7088/rtp/239.69.1.193:10800
金鹰卡通,http://192.168.100.1:7088/rtp/239.69.1.248:11130
金鹰纪实,http://192.168.100.1:7088/rtp/239.69.1.109:10292
中国教育1,http://192.168.100.1:7088/rtp/239.69.1.110:10298
CCTV4中文国际欧洲,http://192.168.100.1:7088/rtp/239.69.1.231:11028
CCTV4中文国际美洲,http://192.168.100.1:7088/rtp/239.69.1.232:11034
CGTN英文纪录,http://192.168.100.1:7088/rtp/239.69.1.233:11040
CGTN西班牙语,http://192.168.100.1:7088/rtp/239.69.1.234:11046
CGTN法语,http://192.168.100.1:7088/rtp/239.69.1.235:11052
CGTN阿拉伯语,http://192.168.100.1:7088/rtp/239.69.1.221:10968
CGTN俄语,http://192.168.100.1:7088/rtp/239.69.1.222:10974
CGTN英语,http://192.168.100.1:7088/rtp/239.254.96.175:9124
CGTN English,http://192.168.100.1:7088/rtp/239.254.96.7:8016
