🕘️更新时间,#genre#
2025-05-12 06:17:06,http://192.168.100.1:7088/udp/239.254.96.96:8550

📺央视频道,#genre#
CCTV-1,http://192.168.100.1:7088/udp/239.254.96.96:8550
CCTV-1,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8
CCTV-1,http://ycsj.aguihome.com:4022/udp/233.50.200.130:5140
CCTV-1,http://qjrhc.jydjd.top:2911/udp/224.1.100.90:11111
CCTV-1,http://wouu.net:9977/udp/239.93.0.184:5140
CCTV-1,http://59.188.94.126:35455/bptv/10000100000000050000000003248324.m3u8
CCTV-2,http://192.168.100.1:7088/udp/239.69.1.102:10250
CCTV-2,http://qjrhc.jydjd.top:2911/udp/224.1.100.94:11111
CCTV-2,http://59.188.94.126:35455/bptv/10000100000000050000000003407051.m3u8
CCTV-3,http://192.168.100.1:7088/udp/239.69.1.122:10370
CCTV-3,http://qjrhc.jydjd.top:2911/udp/224.1.100.64:11111
CCTV-4,http://192.168.100.1:7088/udp/239.69.1.138:10466
CCTV-4,http://119.32.12.17:2901/udp/224.1.100.104:11111
CCTV-5,http://192.168.100.1:7088/udp/239.69.1.123:10376
CCTV-5,http://omnix.cn:4000/udp/225.1.8.89:8000
CCTV-5,http://qjrhc.jydjd.top:2911/udp/224.1.100.82:11111
CCTV-5+,http://192.168.100.1:7088/udp/239.254.96.234:9484
CCTV-5+,http://omnix.cn:4000/udp/225.1.8.20:8004
CCTV-5+,http://ycsj.aguihome.com:4022/udp/233.50.201.220:5140
CCTV-5+,http://59.188.94.126:35455/bptv/10000100000000050000000003248330.m3u8
CCTV-6,http://192.168.100.1:7088/udp/239.69.1.124:10382
CCTV-6,http://119.32.12.17:2901/udp/224.1.100.84:11111
CCTV-7,http://192.168.100.1:7088/udp/239.69.1.103:10256
CCTV-7,http://omnix.cn:4000/udp/225.1.8.7:8104
CCTV-7,http://qjrhc.jydjd.top:2911/udp/224.1.100.27:11111
CCTV-7,http://119.32.12.17:2901/udp/224.1.100.27:11111
CCTV-8,http://192.168.100.1:7088/udp/239.69.1.125:10388
CCTV-9,http://192.168.100.1:7088/udp/239.69.1.104:10262
CCTV-9,http://119.32.12.17:2901/udp/224.1.100.29:11111
CCTV-9,http://59.188.94.126:35455/bptv/10000100000000050000000005002664.m3u8
CCTV-9,http://qjrhc.jydjd.top:2911/udp/224.1.100.29:11111
CCTV-10,http://192.168.100.1:7088/udp/239.69.1.105:10268
CCTV-11,http://192.168.100.1:7088/udp/239.69.1.154:10560
CCTV-11,http://119.32.12.17:2901/udp/224.1.100.44:11111
CCTV-12,http://192.168.100.1:7088/udp/239.69.1.106:10274
CCTV-12,http://119.32.12.17:2901/udp/224.1.100.78:11111
CCTV-13,http://192.168.100.1:7088/udp/239.254.96.161:9040
CCTV-13,http://ali-m-l.cztv.com/channels/lantian/channel21/1080p.m3u8
CCTV-13,http://qjrhc.jydjd.top:2911/udp/224.1.100.69:11111
CCTV-14,http://192.168.100.1:7088/udp/239.69.1.107:10280
CCTV-14,http://ycsj.aguihome.com:4022/udp/233.50.201.124:5140
CCTV-14,http://119.32.12.17:2901/udp/224.1.100.80:11111
CCTV-15,http://192.168.100.1:7088/udp/239.69.1.155:10566
CCTV-16,http://192.168.100.1:7088/udp/239.69.1.247:11124
CCTV-16,http://home.yulei.online:9999/rtp/226.0.2.169:9264
