🕘️更新时间,#genre#
2026-07-26 06:55:36,http://192.168.100.1:7088/rtp/239.254.96.96:8550

📺央视频道,#genre#
CCTV-1,http://192.168.100.1:7088/rtp/239.254.96.96:8550
CCTV-2,http://192.168.100.1:7088/rtp/239.69.1.102:10250
CCTV-3,http://192.168.100.1:7088/rtp/239.69.1.122:10370
CCTV-4,http://192.168.100.1:7088/rtp/239.69.1.138:10466
CCTV-5,http://192.168.100.1:7088/rtp/239.69.1.123:10376
CCTV-5+,http://192.168.100.1:7088/rtp/239.254.96.234:9484
CCTV-6,http://192.168.100.1:7088/rtp/239.69.1.124:10382
CCTV-7,http://192.168.100.1:7088/rtp/239.69.1.103:10256
CCTV-8,http://192.168.100.1:7088/rtp/239.69.1.125:10388
CCTV-9,http://192.168.100.1:7088/rtp/239.69.1.104:10262
CCTV-10,http://192.168.100.1:7088/rtp/239.69.1.105:10268
CCTV-10,https://cdn4.skygo.mn/live/disk1/CCTV-10/HLSv3-FTA/CCTV-10.m3u8
CCTV-11,http://192.168.100.1:7088/rtp/239.69.1.154:10560
CCTV-12,http://192.168.100.1:7088/rtp/239.69.1.106:10274
CCTV-13,http://192.168.100.1:7088/rtp/239.254.96.161:9040
CCTV-14,http://192.168.100.1:7088/rtp/239.69.1.107:10280
CCTV-15,http://192.168.100.1:7088/rtp/239.69.1.155:10566
CCTV-16,http://192.168.100.1:7088/rtp/239.69.1.247:11124
CCTV-17,http://192.168.100.1:7088/rtp/239.69.1.152:10548
CCTV-17,https://live.264788.xyz/channel/cctv17?streamid=348c8c0c04a6d2b900e5a3bcb4af8ce1&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk

💰央视付费频道,#genre#
文化精品,https://live.264788.xyz/channel/yangshiwenhuajingpin?streamid=bc185d1ef1e528922e83efd845006277&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
文化精品,http://107.150.60.122/live/ysjp.m3u8
风云音乐,http://192.168.100.1:7088/rtp/239.69.1.90:10180
风云音乐,https://live.264788.xyz/channel/fengyunyinyue?streamid=be37d16b874e7ba11dd383d7ecd75752&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
第一剧场,https://live.264788.xyz/channel/diyijuchang?streamid=e9b0fb1ca135a4aeae12944494883794&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
第一剧场,https://live.264788.xyz/channel/diyijuchang?streamid=d81e188b59ece96b7e8f1ce34aea3ef8&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
风云剧场,https://live.264788.xyz/channel/fengyunjuchang?streamid=31e7b5b7032d25dd215a4069cdee1a48&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
风云剧场,http://38.75.136.137:98/gslb/dsdqpub/fyjc.m3u8?auth=testpub
怀旧剧场,http://192.168.100.1:7088/rtp/239.69.1.89:10174
怀旧剧场,https://live.264788.xyz/channel/huaijiujuchang?streamid=7e5d1abdddde08f588234f3f640f75ff&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
女性时尚,http://38.75.136.137:98/gslb/dsdqpub/nxss.m3u8?auth=testpub
高尔夫网球,http://38.75.136.137:98/gslb/dsdqpub/gefwq.m3u8?auth=testpub
电视指南,http://38.75.136.137:98/gslb/dsdqpub/dszn.m3u8?auth=testpub
电视指南,rtsp://115.153.245.70/PLTV/88888888/224/3221226969/86129034.smil
电视指南,rtsp://115.153.247.80/PLTV/88888888/224/3221226969/86129034.smil
电视指南,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226969/86129034.smil
兵器科技,https://live.264788.xyz/channel/bingqikeji?streamid=6fc55a0966bdad1e1cdf39a4d37dd776&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
兵器科技,https://live.264788.xyz/channel/bingqikeji?streamid=530cb4e58bbc48b7fc26f5e0a2e47966&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk
兵器科技,http://38.75.136.137:98/gslb/dsdqpub/gfjs.m3u8?auth=testpub

📡卫视频道,#genre#
广东卫视,http://192.168.100.1:7088/rtp/239.254.96.140:8914
浙江卫视,http://192.168.100.1:7088/rtp/239.254.96.143:8932
湖南卫视,http://192.168.100.1:7088/rtp/239.254.96.139:8908
湖南卫视,http://satellitepull.cnr.cn/live/wx32hunws/playlist.m3u8
北京卫视,http://192.168.100.1:7088/rtp/239.254.96.141:8920
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8
湖北卫视,http://192.168.100.1:7088/rtp/239.254.96.115:8664
黑龙江卫视,http://192.168.100.1:7088/rtp/239.254.96.138:8902
安徽卫视,http://192.168.100.1:7088/rtp/239.69.1.70:10060
